,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,InquiriesLast6Months,TotalInquiries,BankcardUtilization,TotalTrades,LoanOriginalAmount,MonthlyLoanPayment,DebtToIncomeRatio,LoanOriginalAmount
14148,AA,36,Chargedoff,2009-11-09 00:00:00,0.17611,0.1689,0.1589,IL,Other,Full-time,79.0,False,"$75,000-99,999",True,6833.333333,0.0,1.0,0.0,14.0,25000,889.95,0.2,25000
14151,HR,36,Defaulted,2010-12-30 00:00:00,0.38468,0.36,0.34,WI,Skilled Labor,Full-time,112.0,False,"$25,000-49,999",True,3333.333333,2.0,2.0,0.0,5.0,1000,0.0,0.01,1000
14152,C,36,Completed,2010-05-27 00:00:00,0.13604000000000002,0.129,0.119,CA,Other,Full-time,11.0,False,"$25,000-49,999",True,4000.0,0.0,5.0,0.67,8.0,4000,134.58,0.16,4000
14154,HR,36,Completed,2008-12-16 00:00:00,0.23498000000000002,0.22,0.2,MO,Social Worker,Full-time,126.0,False,"$1-24,999",True,2057.0,2.0,4.0,0.08,13.0,2500,95.48,0.14,2500
14155,C,36,Completed,2010-05-08 00:00:00,0.15893,0.15,0.14,OH,Other,Full-time,1.0,False,"$25,000-49,999",True,2916.666667,3.0,3.0,0.37,6.0,2000,68.18,0.05,2000
14157,AA,36,Completed,2008-11-18 00:00:00,0.11646,0.1095,0.0995,FL,Executive,Full-time,8.0,True,"$100,000+",True,15027.75,0.0,3.0,0.58,21.0,25000,817.88,0.06,25000
14162,A,36,Defaulted,2010-12-28 00:00:00,0.18423,0.1697,0.1597,CA,Executive,Full-time,110.0,True,"$100,000+",True,10000.0,4.0,6.0,0.68,21.0,24000,0.0,0.25,24000
14164,AA,36,Completed,2010-01-20 00:00:00,0.09677999999999999,0.0899,0.0849,MA,Other,Full-time,154.0,True,"$100,000+",True,22916.666666999998,2.0,4.0,0.25,33.0,12500,397.44,0.11,12500
14166,D,36,Completed,2011-09-15 00:00:00,0.16460999999999998,0.143,0.133,CA,Military Enlisted,Full-time,29.0,False,"$1-24,999",True,1500.0,1.0,6.0,0.89,9.0,4000,100.14,0.33,4000
14168,B,36,Completed,2010-06-17 00:00:00,0.18442999999999998,0.1699,0.1599,NY,Sales - Retail,Full-time,38.0,False,"$25,000-49,999",True,4083.333333,3.0,5.0,0.64,9.0,10000,356.48,0.1,10000
14169,D,36,Defaulted,2010-01-10 00:00:00,0.24502,0.2375,0.2275,WA,Construction,Part-time,26.0,False,"$25,000-49,999",True,2333.333333,0.0,11.0,0.89,10.0,3000,0.0,0.19,3000
14178,HR,36,Defaulted,2010-11-05 00:00:00,0.23498000000000002,0.22,0.21,OH,Laborer,Full-time,134.0,True,"$25,000-49,999",True,2833.333333,0.0,2.0,0.95,22.0,1750,66.83,0.29,1750
14181,HR,36,Chargedoff,2009-10-31 00:00:00,0.26308000000000004,0.2472,0.2372,OR,Other,Self-employed,153.0,False,"$1-24,999",True,1166.666667,12.0,27.0,0.97,7.0,1200,47.53,0.3,1200
14183,AA,36,Completed,2009-12-15 00:00:00,0.12197999999999999,0.115,0.11,IN,Clerical,Full-time,105.0,True,"$25,000-49,999",True,3333.333333,0.0,1.0,0.29,29.0,9000,296.78,0.45,9000
14186,A,36,Completed,2008-12-30 00:00:00,0.09935,0.089,0.079,CA,Executive,Full-time,176.0,True,"$100,000+",True,22916.666666999998,1.0,13.0,0.08,30.0,5000,158.77,0.04,5000
14189,A,36,Defaulted,2009-02-09 00:00:00,0.1511,0.144,0.1365,MO,Executive,Full-time,8.0,True,"$75,000-99,999",True,6585.0,0.0,5.0,0.8,33.0,20000,687.44,0.68,20000
14192,A,36,Chargedoff,2009-09-13 00:00:00,0.17722000000000002,0.17,0.165,OH,Nurse (RN),Full-time,112.0,True,"$25,000-49,999",True,2916.666667,2.0,2.0,0.06,16.0,4000,142.61,0.24,4000
14196,A,36,Completed,2011-04-08 00:00:00,0.11272,0.105,0.095,KS,Teacher,Full-time,91.0,True,"$25,000-49,999",True,3035.333333,1.0,4.0,0.62,28.0,9000,289.54,0.2,9000
14201,C,36,Chargedoff,2008-10-17 00:00:00,0.12562,0.1045,0.0945,MN,Other,Retired,56.0,False,"$25,000-49,999",True,3693.0,0.0,3.0,0.59,14.0,7450,241.97,0.16,7450
14202,AA,36,Completed,2009-02-18 00:00:00,0.08684,0.08,0.075,NJ,Skilled Labor,Full-time,123.0,True,"$50,000-74,999",True,4250.0,1.0,7.0,0.27,22.0,6500,203.69,0.09,6500
14207,HR,36,Chargedoff,2009-09-17 00:00:00,0.36438000000000004,0.34,0.33,MA,Food Service,Full-time,61.0,False,"$25,000-49,999",True,3916.666667,13.0,54.0,1.0,19.0,1000,44.67,0.4,1000
14208,C,36,Chargedoff,2009-02-12 00:00:00,0.12562,0.1045,0.0945,VA,Sales - Retail,Full-time,37.0,False,"$25,000-49,999",True,3333.333333,0.0,0.0,0.95,19.0,6500,211.11,0.29,6500
14212,B,36,Chargedoff,2009-06-22 00:00:00,0.12750999999999998,0.1205,0.1105,MO,Computer Programmer,Full-time,70.0,True,"$100,000+",True,8416.666667,2.0,4.0,0.79,16.0,17500,581.67,0.17,17500
14228,B,36,Completed,2011-02-22 00:00:00,0.34764,0.3316,0.3216,CA,Administrative Assistant,Full-time,100.0,True,"$25,000-49,999",True,3000.0,15.0,22.0,0.95,55.0,3500,102.14,0.26,3500
14232,E,36,Completed,2011-07-16 00:00:00,0.3593,0.335,0.325,NC,Teacher,Full-time,179.0,True,"$25,000-49,999",True,3583.333333,1.0,10.0,0.96,33.0,2000,64.18,0.29,2000
14233,B,36,Completed,2010-07-23 00:00:00,0.18224,0.175,0.16,IL,Construction,Self-employed,13.0,True,"$50,000-74,999",True,4166.666667,7.0,26.0,0.0,19.0,6000,215.41,0.22,6000
14238,C,36,Completed,2009-01-06 00:00:00,0.18639,0.1645,0.1545,NC,Other,Full-time,77.0,True,"$25,000-49,999",True,2833.333333,3.0,9.0,0.74,43.0,3500,123.83,0.16,3500
14253,D,36,Completed,2010-11-29 00:00:00,0.22744,0.22,0.21,OR,Other,Full-time,26.0,False,"$1-24,999",True,1833.3333329999998,1.0,3.0,0.84,4.0,2500,95.48,0.26,2500
14255,C,36,Completed,2011-05-21 00:00:00,0.21679,0.1945,0.1845,MD,Clerical,Full-time,21.0,True,"$25,000-49,999",True,2583.333333,1.0,2.0,1.09,18.0,3000,108.13,0.13,3000
14258,E,36,Completed,2008-06-11 00:00:00,0.20471,0.19,0.18,CA,Other,Full-time,53.0,False,"$25,000-49,999",True,3500.0,23.0,68.0,0.67,12.0,3100,113.63,0.29,3100
14267,HR,36,Completed,2010-09-08 00:00:00,0.31248000000000004,0.3,0.29,CA,Clerical,Full-time,226.0,False,"$25,000-49,999",True,3141.666667,6.0,26.0,0.49,26.0,4715,200.16,0.32,4715
14268,D,36,Chargedoff,2009-11-17 00:00:00,0.20715,0.1998,0.1898,GA,Construction,Full-time,89.0,False,"$50,000-74,999",True,5583.333333,0.0,2.0,0.58,8.0,5900,219.21,0.16,5900
14273,A,36,Completed,2009-04-14 00:00:00,0.09579,0.082,0.072,MO,Engineer - Mechanical,Full-time,114.0,False,"$50,000-74,999",True,5833.333333,1.0,8.0,0.5,35.0,7000,220.0,0.26,7000
14274,E,36,Completed,2008-05-20 00:00:00,0.23498000000000002,0.22,0.21,MA,Fireman,Full-time,11.0,False,"$25,000-49,999",True,2500.0,1.0,30.0,0.25,17.0,6001,229.18,0.27,6001
14275,D,36,Chargedoff,2009-08-05 00:00:00,0.21126,0.2039,0.1889,CA,Clerical,Full-time,74.0,False,"$25,000-49,999",True,2537.5,20.0,38.0,1.0,31.0,3200,119.56,0.49,3200
14289,E,36,Chargedoff,2008-02-18 00:00:00,0.26526,0.25,0.23,IL,Other,Full-time,11.0,False,"$25,000-49,999",True,3137.25,1.0,4.0,1.0,17.0,6977,277.4,0.18,6977
14296,C,36,Defaulted,2009-12-03 00:00:00,0.14207,0.135,0.125,IN,Tradesman - Mechanic,Full-time,62.0,True,"$25,000-49,999",True,3083.333333,0.0,12.0,0.97,9.0,5050,171.37,0.15,5050
14300,AA,36,Completed,2010-12-28 00:00:00,0.08569,0.08,0.08,MO,Retail Management,Full-time,29.0,False,"$25,000-49,999",True,2833.333333,0.0,1.0,0.01,32.0,9000,282.03,0.21,9000
14301,HR,36,Chargedoff,2009-01-22 00:00:00,0.37453000000000003,0.35,0.34,WA,Teacher,Full-time,6.0,False,"$25,000-49,999",True,2916.666667,1.0,6.0,0.0,8.0,1000,45.24,0.02,1000
14302,B,36,Completed,2010-09-03 00:00:00,0.15841,0.145,0.135,MN,Professional,Full-time,36.0,True,"$75,000-99,999",True,6666.666667,3.0,7.0,0.57,22.0,4000,137.68,0.19,4000
14311,B,36,Defaulted,2009-03-04 00:00:00,0.20723000000000003,0.1925,0.1825,CA,Other,Full-time,19.0,True,"$75,000-99,999",True,7083.333333,2.0,8.0,0.99,32.0,15000,551.74,0.13,15000
14328,HR,36,Completed,2011-06-01 00:00:00,0.36945,0.345,0.335,GA,Professional,Full-time,88.0,True,"$75,000-99,999",True,6500.0,4.0,15.0,0.08,20.0,2000,89.91,0.13,2000
14331,A,36,Completed,2011-06-24 00:00:00,0.13663,0.1225,0.1125,OR,Other,Full-time,9.0,False,"$1-24,999",True,1250.0,1.0,1.0,0.35,12.0,8000,266.67,0.48,8000
14339,A,36,Completed,2007-11-09 00:00:00,0.14709,0.14,0.135,NY,Other,Full-time,7.0,True,"$75,000-99,999",True,7706.5,4.0,15.0,0.37,13.0,10000,341.78,0.07,10000
14344,D,36,Completed,2010-03-18 00:00:00,0.16802,0.15,0.14,IL,Sales - Retail,Full-time,22.0,False,"$25,000-49,999",True,2333.333333,2.0,6.0,0.89,10.0,1000,21.27,0.25,1000
14357,C,36,Completed,2008-07-22 00:00:00,0.17322,0.1515,0.1415,MN,Teacher,Full-time,9.0,True,"$50,000-74,999",True,4358.25,2.0,22.0,1.09,34.0,3000,104.22,0.38,3000
14365,E,36,Chargedoff,2009-08-24 00:00:00,0.36848000000000003,0.35,0.34,CA,Teacher,Full-time,211.0,False,"$75,000-99,999",True,6449.833333,11.0,38.0,0.0,45.0,3300,149.28,0.14,3300
14369,A,36,Completed,2011-10-01 00:00:00,0.14318,0.129,0.119,NY,Professor,Full-time,85.0,False,"$50,000-74,999",True,5916.666667,1.0,2.0,0.52,15.0,5000,168.23,0.11,5000
14372,C,36,Completed,2010-08-15 00:00:00,0.17722000000000002,0.17,0.14,GA,Professional,Full-time,31.0,True,"$25,000-49,999",True,3900.0,1.0,4.0,0.0,14.0,4800,167.67,0.18,4800
14388,E,36,Completed,2009-04-28 00:00:00,0.32256,0.2988,0.2888,MD,Other,Full-time,5.0,False,"$50,000-74,999",True,4333.333333,2.0,4.0,0.0,7.0,2500,105.96,0.14,2500
14389,D,36,Completed,2011-04-19 00:00:00,0.18386,0.162,0.152,IL,Engineer - Electrical,Full-time,2.0,False,"$25,000-49,999",True,2773.333333,1.0,3.0,0.61,17.0,5000,176.28,0.36,5000
14391,C,36,Chargedoff,2009-10-30 00:00:00,0.13625,0.115,0.105,FL,Analyst,Full-time,101.0,True,"$25,000-49,999",True,3813.416667,0.0,4.0,1.0,28.0,6000,197.86,0.2,6000
14393,A,36,Chargedoff,2009-11-23 00:00:00,0.13985999999999998,0.1257,0.1157,AZ,Engineer - Electrical,Full-time,153.0,True,"$75,000-99,999",True,7166.666667,3.0,7.0,0.87,28.0,5000,167.44,0.26,5000
14399,E,36,Chargedoff,2009-12-08 00:00:00,0.25903000000000004,0.24,0.23,ID,Sales - Retail,Full-time,264.0,False,"$25,000-49,999",True,2810.75,0.0,5.0,1.14,7.0,1000,39.23,0.06,1000
14402,A,36,Defaulted,2008-07-17 00:00:00,0.11947,0.1125,0.1075,LA,Accountant/CPA,Full-time,8.0,True,"$50,000-74,999",True,5666.666667,1.0,9.0,0.59,13.0,15000,492.86,0.27,15000
14405,AA,36,Completed,2008-12-19 00:00:00,0.08925,0.0824,0.0774,TX,Computer Programmer,Full-time,12.0,False,"$75,000-99,999",True,7666.666667,0.0,1.0,0.26,18.0,5000,157.24,0.12,5000
14409,C,36,Chargedoff,2010-09-04 00:00:00,0.17018,0.1485,0.1385,TN,Civil Service,Full-time,98.0,False,"$25,000-49,999",True,3000.0,0.0,0.0,0.0,6.0,2100,72.64,0.19,2100
14423,HR,36,Completed,2011-08-13 00:00:00,0.32671999999999995,0.3029,0.2929,PA,Sales - Retail,Full-time,55.0,False,"$25,000-49,999",True,3083.333333,1.0,10.0,1.12,10.0,1250,53.26,0.2,1250
14429,C,36,Completed,2011-02-25 00:00:00,0.20868,0.1865,0.1765,CA,Doctor,Full-time,3.0,False,"$25,000-49,999",True,4000.0,1.0,3.0,0.88,21.0,10000,364.79,0.34,10000
14430,C,36,Completed,2011-01-20 00:00:00,0.20514000000000002,0.183,0.173,MI,Analyst,Full-time,76.0,True,"$50,000-74,999",True,4583.333333,0.0,5.0,0.9,16.0,2089,16.19,0.22,2089
14438,B,36,Completed,2010-06-15 00:00:00,0.2148,0.2,0.19,AL,Other,Full-time,126.0,True,"$75,000-99,999",True,6756.75,0.0,0.0,0.83,18.0,23000,854.76,0.21,23000
14447,B,36,Chargedoff,2009-04-05 00:00:00,0.20232,0.195,0.185,MD,Computer Programmer,Full-time,134.0,True,"$100,000+",True,8666.666667,2.0,7.0,0.79,15.0,6500,239.91,0.11,6500
14451,A,36,Completed,2010-06-16 00:00:00,0.10642,0.0995,0.0945,VT,Other,Full-time,87.0,True,"$25,000-49,999",True,2084.333333,0.0,0.0,0.22,10.0,4000,128.97,0.04,4000
14452,A,36,Completed,2011-04-15 00:00:00,0.12352,0.1095,0.0995,GA,Food Service Management,Full-time,6.0,True,"$25,000-49,999",True,2500.0,1.0,8.0,0.32,20.0,5200,170.12,0.58,5200
14454,AA,36,Completed,2007-12-21 00:00:00,0.08182,0.075,0.07,SC,Computer Programmer,Full-time,50.0,True,"$25,000-49,999",True,3689.583333,0.0,1.0,0.09,8.0,3000,93.32,0.03,3000
14460,A,36,Completed,2011-07-31 00:00:00,0.1089,0.095,0.085,GA,Fireman,Full-time,58.0,True,"$25,000-49,999",True,3813.333333,2.0,5.0,0.56,16.0,3000,96.1,0.18,3000
14462,AA,36,Completed,2011-06-09 00:00:00,0.10592,0.099,0.089,FL,Other,Full-time,173.0,True,"$75,000-99,999",True,7000.0,3.0,11.0,0.69,52.0,5300,170.77,0.26,5300
14470,AA,36,Completed,2011-04-22 00:00:00,0.06092,0.044,0.044,PA,Professional,Full-time,21.0,False,"$75,000-99,999",True,6833.333333,0.0,1.0,0.04,8.0,1000,29.7,0.02,1000
14482,AA,36,Completed,2008-03-25 00:00:00,0.08433,0.0775,0.0725,GA,Analyst,Full-time,7.0,True,Not displayed,True,3833.333333,0.0,4.0,0.04,15.0,3001,93.69,0.06,3001
14483,AA,36,Completed,2010-03-11 00:00:00,0.13694,0.1299,0.1199,MA,Principal,Full-time,85.0,True,"$75,000-99,999",True,8215.583333,6.0,8.0,0.19,36.0,22000,741.16,0.23,22000
14486,B,36,Completed,2009-07-14 00:00:00,0.1119,0.0949,0.0849,NC,Other,Full-time,85.0,True,"$50,000-74,999",True,4166.666667,0.0,1.0,0.52,27.0,1025,32.83,0.25,1025
14489,AA,36,Completed,2009-11-27 00:00:00,0.08383,0.077,0.077,OH,Accountant/CPA,Full-time,39.0,True,"$50,000-74,999",True,4583.333333,0.0,3.0,0.0,7.0,11000,343.18,0.08,11000
14492,HR,36,Chargedoff,2010-12-24 00:00:00,0.37453000000000003,0.35,0.34,AZ,Other,Full-time,1.0,False,"$1-24,999",True,1500.0,4.0,8.0,0.0,3.0,1500,67.85,0.05,1500
14513,D,36,Chargedoff,2009-10-06 00:00:00,0.26761999999999997,0.26,0.25,GA,Teacher,Full-time,34.0,True,"$50,000-74,999",True,4333.333333,1.0,3.0,0.96,32.0,6000,241.74,0.37,6000
14523,HR,36,Completed,2009-09-01 00:00:00,0.11042,0.1,0.09,CA,Retail Management,Full-time,33.0,False,"$25,000-49,999",True,3500.0,5.0,10.0,0.91,16.0,5000,161.34,0.38,5000
14526,B,36,Defaulted,2008-11-05 00:00:00,0.23498000000000002,0.22,0.21,CA,Professional,Full-time,31.0,True,"$75,000-99,999",True,6666.666667,10.0,34.0,0.42,50.0,20000,763.81,0.34,20000
14527,B,36,Completed,2011-10-08 00:00:00,0.14954,0.1353,0.1253,WA,Computer Programmer,Full-time,33.0,True,"$50,000-74,999",True,5666.666667,0.0,2.0,1.0,15.0,4000,135.8,0.04,4000
14531,E,36,Chargedoff,2010-01-17 00:00:00,0.19462000000000002,0.18,0.16,ID,Other,Full-time,44.0,False,"$25,000-49,999",True,3125.0,2.0,13.0,0.93,15.0,5000,180.76,0.43,5000
14550,D,36,Completed,2011-06-24 00:00:00,0.29314,0.2698,0.2598,IN,Student - Community College,Part-time,12.0,False,"$1-24,999",True,940.416667,3.0,4.0,0.06,2.0,4000,161.47,0.19,4000
14551,D,36,Chargedoff,2009-09-17 00:00:00,0.2832,0.26,0.25,MO,Civil Service,Full-time,241.0,True,"$25,000-49,999",True,3935.166667,1.0,7.0,0.07,16.0,2000,80.58,0.36,2000
14557,D,36,Completed,2011-06-17 00:00:00,0.16460999999999998,0.143,0.133,MI,Other,Full-time,38.0,False,"$25,000-49,999",True,2083.333333,0.0,2.0,0.78,6.0,6500,221.8,0.2,6500
14559,AA,36,Chargedoff,2009-09-13 00:00:00,0.127,0.12,0.11,CA,Nurse (LPN),Full-time,80.0,True,"$50,000-74,999",True,4583.333333,1.0,9.0,0.49,24.0,25000,830.36,0.26,25000
14565,D,36,Defaulted,2007-12-02 00:00:00,0.23246,0.225,0.21,CA,Other,Full-time,6.0,False,"$1-24,999",True,2447.666667,3.0,7.0,0.93,8.0,13000,499.84,0.53,13000
14567,B,36,Completed,2011-01-03 00:00:00,0.17722000000000002,0.17,0.16,CO,Other,Self-employed,93.0,True,"$1-24,999",True,833.333333,1.0,2.0,0.53,25.0,13000,463.49,1.81,13000
14571,E,36,Completed,2011-04-24 00:00:00,0.37453000000000003,0.35,0.34,IL,Executive,Full-time,90.0,True,"$100,000+",True,10000.0,7.0,22.0,1.0,30.0,3000,114.31,0.23,3000
14580,C,36,Chargedoff,2009-08-12 00:00:00,0.17722000000000002,0.17,0.16,MI,Other,Full-time,15.0,True,"$1-24,999",True,2070.833333,1.0,8.0,0.35,9.0,6500,231.74,0.15,6500
14586,C,36,Chargedoff,2010-02-21 00:00:00,0.28015999999999996,0.257,0.247,NY,Executive,Full-time,31.0,True,"$100,000+",True,8333.333333,1.0,14.0,0.17,31.0,14500,581.9,0.16,14500
14592,AA,36,Chargedoff,2011-01-26 00:00:00,0.15914,0.152,0.142,WV,Executive,Full-time,7.0,True,"$100,000+",True,11250.0,0.0,3.0,0.9,33.0,25000,869.08,0.24,25000
14594,HR,36,Defaulted,2007-11-06 00:00:00,0.29554,0.28,0.25,MO,Other,Full-time,68.0,True,"$1-24,999",True,1681.4166670000002,1.0,2.0,0.93,18.0,3500,144.77,0.1,3500
14596,HR,36,Chargedoff,2011-02-06 00:00:00,0.37453000000000003,0.35,0.34,OH,Clerical,Full-time,80.0,True,"$25,000-49,999",True,2375.0,1.0,3.0,1.15,22.0,1500,67.85,0.37,1500
14599,B,36,Completed,2007-08-16 00:00:00,0.14983,0.132,0.112,NY,Other,Not employed,0.0,False,Not employed,True,175.0,0.0,4.0,0.03,11.0,1000,33.79,10.01,1000
14611,HR,36,Completed,2010-06-01 00:00:00,0.18454,0.17,0.16,TX,Professional,Full-time,0.0,False,"$25,000-49,999",True,2344.0,2.0,5.0,0.0,16.0,1650,35.68,0.08,1650
14614,AA,36,Defaulted,2008-08-30 00:00:00,0.10692,0.1,0.095,CA,Executive,Self-employed,33.0,True,"$100,000+",True,13333.333333,8.0,22.0,0.28,14.0,25000,806.68,0.13,25000
14616,C,36,Completed,2008-09-30 00:00:00,0.14207,0.135,0.125,CA,Executive,Full-time,0.0,False,"$100,000+",True,8666.666667,4.0,5.0,0.71,26.0,6000,203.61,0.19,6000
14619,D,36,Completed,2011-05-02 00:00:00,0.2021,0.18,0.17,CT,Construction,Full-time,130.0,True,"$50,000-74,999",True,5166.666667,1.0,12.0,0.0,16.0,7000,189.98,0.14,7000
14626,B,36,Chargedoff,2010-01-07 00:00:00,0.32583,0.31,0.3,AZ,Other,Retired,19.0,True,"$50,000-74,999",True,4691.5,13.0,23.0,0.34,34.0,5500,236.51,0.39,5500
14633,B,36,Completed,2009-08-05 00:00:00,0.2148,0.2,0.19,GA,Computer Programmer,Full-time,96.0,True,"$75,000-99,999",True,7500.0,0.0,17.0,0.11,30.0,13000,483.13,0.18,13000
14650,HR,36,Completed,2010-02-18 00:00:00,0.36874,0.3443,0.3343,MN,Bus Driver,Full-time,45.0,False,"$1-24,999",True,1541.666667,2.0,6.0,0.0,2.0,1500,67.37,0.17,1500
14652,B,36,Chargedoff,2010-02-05 00:00:00,0.15211,0.145,0.13,CA,Other,Full-time,121.0,True,"$100,000+",True,8333.0,3.0,8.0,0.72,33.0,24500,843.31,0.35,24500
14653,HR,36,Chargedoff,2008-12-15 00:00:00,0.32378,0.3,0.29,NH,Administrative Assistant,Full-time,24.0,False,"$25,000-49,999",True,2875.0,5.0,14.0,0.78,4.0,1325,56.25,0.16,1325
14654,B,36,Completed,2010-11-19 00:00:00,0.13202,0.125,0.115,IL,Other,Full-time,37.0,False,"$25,000-49,999",True,3750.0,0.0,3.0,0.29,10.0,8000,267.63,0.24,8000
14662,AA,36,Completed,2011-01-25 00:00:00,0.11194000000000001,0.105,0.105,MD,Civil Service,Full-time,499.0,True,"$75,000-99,999",True,7939.916667,0.0,4.0,0.57,39.0,23000,744.8,0.28,23000
14667,D,36,Chargedoff,2009-03-19 00:00:00,0.37453000000000003,0.35,0.34,NC,Other,Full-time,93.0,True,"$25,000-49,999",True,2666.666667,6.0,13.0,0.24,12.0,1500,67.85,0.07,1500
14668,C,36,Completed,2011-01-03 00:00:00,0.19196,0.17,0.16,KS,Engineer - Electrical,Full-time,4.0,True,"$25,000-49,999",True,4083.333333,4.0,11.0,0.97,8.0,3000,106.96,0.18,3000
14669,AA,36,Completed,2011-04-19 00:00:00,0.07881,0.072,0.062,NJ,Professional,Full-time,11.0,True,"$100,000+",True,9583.333333,1.0,8.0,0.26,29.0,10000,309.69,0.19,10000
14670,D,36,Completed,2010-02-19 00:00:00,0.27793,0.2548,0.2448,KS,Administrative Assistant,Full-time,26.0,False,"$25,000-49,999",True,3500.0,9.0,9.0,0.21,12.0,1250,50.02,0.24,1250
14674,D,36,Chargedoff,2010-05-12 00:00:00,0.21106,0.2,0.19,MN,Skilled Labor,Full-time,72.0,False,"$50,000-74,999",True,5166.666667,2.0,8.0,0.78,20.0,5000,185.82,0.16,5000
14679,A,36,Completed,2011-01-22 00:00:00,0.11394000000000001,0.1,0.09,MA,Professional,Full-time,55.0,True,"$75,000-99,999",True,6916.666667,1.0,5.0,0.09,40.0,9000,166.34,0.15,9000
14702,C,36,Completed,2011-10-03 00:00:00,0.18842,0.1665,0.1565,CO,Nurse's Aide,Full-time,85.0,True,"$25,000-49,999",True,3333.333333,2.0,2.0,0.67,13.0,1700,60.31,0.15,1700
14705,B,36,Chargedoff,2008-07-03 00:00:00,0.16717,0.16,0.15,MO,Other,Full-time,134.0,True,"$25,000-49,999",True,4098.416667,1.0,7.0,0.98,30.0,7500,263.68,0.21,7500
14706,A,36,Chargedoff,2008-01-27 00:00:00,0.1019,0.095,0.0875,TN,Realtor,Full-time,177.0,True,"$25,000-49,999",True,2916.666667,4.0,11.0,0.0,27.0,5000,160.16,0.07,5000
14715,A,36,Completed,2011-05-28 00:00:00,0.09479,0.081,0.071,FL,Clerical,Full-time,58.0,False,"$25,000-49,999",True,2166.666667,1.0,6.0,0.27,7.0,3500,109.84,0.3,3500
14717,D,36,Chargedoff,2009-08-26 00:00:00,0.1934,0.182,0.172,CA,Student - College Senior,Part-time,1.0,False,Not displayed,False,0.083333,2.0,2.0,0.79,4.0,1600,58.0,10.01,1600
14721,C,36,Completed,2008-10-27 00:00:00,0.17099,0.1493,0.1393,MN,Sales - Commission,Full-time,8.0,False,"$1-24,999",True,2000.0,4.0,6.0,0.83,23.0,1000,34.63,0.12,1000
14746,AA,36,Completed,2010-12-12 00:00:00,0.11696,0.11,0.11,GA,Sales - Commission,Full-time,32.0,True,"$100,000+",True,9166.666667,3.0,4.0,0.33,32.0,25000,818.47,0.25,25000
14747,A,36,Completed,2010-10-29 00:00:00,0.13108,0.117,0.107,MD,Other,Full-time,80.0,True,"$50,000-74,999",True,4700.0,1.0,6.0,0.79,18.0,8000,264.57,0.28,8000
14749,HR,36,Completed,2010-03-06 00:00:00,0.30564,0.29,0.28,TX,Pharmacist,Full-time,0.0,False,"$75,000-99,999",True,6666.666667,0.0,2.0,0.0,9.0,1500,58.51,0.07,1500
14750,A,36,Completed,2009-04-09 00:00:00,0.1019,0.095,0.09,MI,Other,Self-employed,69.0,False,"$1-24,999",True,893.75,1.0,2.0,0.41,19.0,2869,91.9,0.38,2869
14753,C,36,Chargedoff,2009-10-01 00:00:00,0.23504,0.2125,0.2025,NY,Other,Full-time,135.0,True,"$75,000-99,999",True,6250.0,1.0,10.0,0.78,35.0,13000,491.45,0.2,13000
14756,AA,36,Completed,2011-02-25 00:00:00,0.1014,0.0945,0.0945,CA,Other,Full-time,70.0,True,"$100,000+",True,10000.0,0.0,5.0,0.86,34.0,15000,480.14,0.14,15000
14763,C,36,Completed,2008-01-07 00:00:00,0.1499,0.1428,0.1328,NY,Analyst,Full-time,35.0,False,"$100,000+",True,25000.0,1.0,7.0,0.0,16.0,6000,205.88,0.03,6000
14764,C,36,Defaulted,2008-11-25 00:00:00,0.25255,0.245,0.235,MN,Bus Driver,Full-time,2.0,False,"$25,000-49,999",True,4000.0,1.0,15.0,0.8,44.0,15000,592.44,0.39,15000
14766,HR,36,Defaulted,2009-02-16 00:00:00,0.23901999999999998,0.224,0.214,MI,Sales - Commission,Full-time,48.0,False,"$25,000-49,999",True,3333.333333,7.0,16.0,0.48,19.0,5000,191.99,0.33,5000
14774,AA,36,Completed,2010-11-24 00:00:00,0.11696,0.11,0.11,MA,Biologist,Full-time,78.0,True,"$25,000-49,999",True,3333.333333,1.0,5.0,0.61,15.0,20000,654.77,0.39,20000
14780,D,36,Completed,2011-09-09 00:00:00,0.30246999999999996,0.279,0.269,MA,Computer Programmer,Full-time,2.0,False,"$100,000+",True,9533.333333,3.0,3.0,0.89,13.0,1000,41.31,0.08,1000
14782,D,36,Defaulted,2009-08-09 00:00:00,0.19196,0.17,0.16,WA,Clerical,Full-time,104.0,False,"$1-24,999",True,1274.0,0.0,0.0,0.0,4.0,7200,256.7,0.27,7200
14791,C,36,Chargedoff,2009-03-19 00:00:00,0.2325,0.21,0.2,IL,Sales - Commission,Full-time,87.0,True,"$50,000-74,999",True,4166.666667,1.0,6.0,0.07,15.0,2100,79.12,0.15,2100
14802,E,36,Completed,2009-06-15 00:00:00,0.21857,0.2,0.19,CA,Analyst,Full-time,39.0,False,"$50,000-74,999",True,5541.666667,13.0,47.0,0.86,29.0,3000,111.49,0.35,3000
14805,D,36,Completed,2011-09-29 00:00:00,0.24264000000000002,0.22,0.21,CA,Waiter/Waitress,Full-time,5.0,False,"$1-24,999",True,1000.0,0.0,3.0,0.97,9.0,1000,38.19,0.31,1000
